127.0.0.1, 2016-07-28 14:27:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.070000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:28:00, GET, /welcome, HTTP/1.1, 200, 0.264000
127.0.0.1, 2016-07-28 14:28:13, GET, /admin/default/edit/welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-07-28 14:28:14, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2016-07-28 14:28:14, GET, /admin/default/edit/welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-07-28 14:28:14, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.132000
127.0.0.1, 2016-07-28 14:28:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.132000
127.0.0.1, 2016-07-28 14:28:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.025000
127.0.0.1, 2016-07-28 14:28:14, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.157000
127.0.0.1, 2016-07-28 14:28:15, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.979000
127.0.0.1, 2016-07-28 14:28:18, GET, /welcome, HTTP/1.1, 200, 0.262000
127.0.0.1, 2016-07-28 14:28:25, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.355000
127.0.0.1, 2016-07-28 14:28:25, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.115000
127.0.0.1, 2016-07-28 14:28:29, GET, /welcome, HTTP/1.1, 200, 0.261000
127.0.0.1, 2016-07-28 14:28:31, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.102000
127.0.0.1, 2016-07-28 14:28:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello, HTTP/1.1, 200, 0.920000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:29:09, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:29:21, GET, /hello, HTTP/1.1, 200, 0.330000
127.0.0.1, 2016-07-28 14:30:02, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.094000
127.0.0.1, 2016-07-28 14:30:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-28 14:32:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-28 14:32:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/appadmin/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/js/calendar.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-07-28 14:32:46, GET, /hello/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2016-07-28 14:32:47, GET, /hello/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-28 14:32:47, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-28 14:32:47, GET, /hello/static/images/facebook.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-28 14:32:47, GET, /hello/static/images/favicon.ico, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-28 14:32:47, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-07-28 14:32:49, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.222000
127.0.0.1, 2016-07-28 14:32:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-28 14:32:51, GET, /hello/default/index, HTTP/1.1, 200, 0.274000
127.0.0.1, 2016-07-28 14:32:51, GET, /hello/static/images/background.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-28 14:32:51, GET, /hello/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-28 14:37:52, GET, /admin/default/peek/hello/controllers/default.py, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-07-28 14:37:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-28 14:38:07, GET, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.054000
127.0.0.1, 2016-07-28 14:38:07, GET, /favicon.ico, HTTP/1.1, 400, 0.008000
